City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ribeira Grande,PT,2020-06-17 03:44:17,38.52,-28.7,64.96,87,67,18.79
70,Hidalgo,MX,2020-06-17 03:44:17,20.5,-99.0,59.04,96,11,4.5
71,Ostroleka,PL,2020-06-17 03:41:05,53.09,21.58,61.0,92,3,1.01
72,Busselton,AU,2020-06-17 03:43:27,-33.65,115.33,60.01,73,86,20.29
73,Atuona,PF,2020-06-17 03:44:18,-9.8,-139.03,80.28,76,70,18.61
74,Geraldton,AU,2020-06-17 03:44:18,-28.77,114.6,77.0,31,75,20.8
75,Lazaro Cardenas,MX,2020-06-17 03:30:53,17.96,-102.2,79.63,80,0,3.58
76,Saskylakh,RU,2020-06-17 03:44:18,71.92,114.08,64.53,39,27,19.55
77,Georgetown,MY,2020-06-17 03:44:19,5.41,100.34,87.8,74,20,4.7
78,Luganville,VU,2020-06-17 03:44:19,-15.53,167.17,82.4,83,90,8.05
79,Bandarbeyla,SO,2020-06-17 03:44:19,9.49,50.81,84.7,54,100,31.16
80,Kangaatsiaq,GL,2020-06-17 03:31:15,68.31,-53.46,35.04,87,100,7.49
81,Nandu,CN,2020-06-17 03:44:19,22.85,110.82,89.01,66,25,10.58
82,Mar Del Plata,AR,2020-06-17 03:44:20,-38.0,-57.56,57.99,100,90,4.7
83,Zhezkazgan,KZ,2020-06-17 03:44:20,47.8,67.71,62.6,45,34,11.18
84,Alofi,NU,2020-06-17 03:44:20,-19.06,-169.92,77.0,57,75,18.34
85,Longyearbyen,SJ,2020-06-17 03:44:05,78.22,15.64,37.4,69,75,9.17
86,Voh,NC,2020-06-17 03:44:20,-20.97,164.7,78.6,53,1,8.3
87,Fortuna,US,2020-06-17 03:34:32,40.6,-124.16,57.99,76,1,14.99
88,Talara,PE,2020-06-17 03:44:21,-4.58,-81.27,67.73,78,0,13.67
89,Faya,SA,2020-06-17 03:44:21,18.39,42.45,66.2,22,0,4.7
90,Alice Town,BS,2020-06-17 03:44:21,25.72,-79.3,80.8,72,0,12.41
91,Vallenar,CL,2020-06-17 03:44:21,-28.57,-70.76,52.34,84,29,5.08
92,Bossangoa,CF,2020-06-17 03:44:22,6.49,17.46,68.23,94,90,3.91
93,Codrington,AU,2020-06-17 03:44:22,-38.27,141.97,54.36,58,87,4.03
94,Nurobod,UZ,2020-06-17 03:44:22,40.91,69.8,73.4,28,39,4.7
95,Krasnoslobodsk,RU,2020-06-17 03:44:22,48.71,44.57,68.0,45,4,13.42
96,Nantucket,US,2020-06-17 03:41:09,41.28,-70.1,57.0,76,1,8.05
97,Karangasem,ID,2020-06-17 03:44:23,-8.45,115.62,86.0,84,40,17.22
98,Cordoba,AR,2020-06-17 03:42:27,-31.41,-64.18,66.0,77,100,3.36
99,Hilo,US,2020-06-17 03:44:23,19.73,-155.09,75.0,88,89,4.0
100,Kaitangata,NZ,2020-06-17 03:44:23,-46.28,169.85,46.0,72,100,4.0
101,Pemangkat,ID,2020-06-17 03:34:42,1.17,108.97,83.52,70,29,4.9
102,Dillon,US,2020-06-17 03:41:30,34.42,-79.37,62.01,100,90,4.7
103,Sabya,SA,2020-06-17 03:44:24,17.15,42.63,87.8,84,20,6.93
104,Dongkan,CN,2020-06-17 03:44:24,34.0,119.83,64.42,92,100,18.37
105,Takoradi,GH,2020-06-17 03:44:24,4.88,-1.76,77.65,90,94,10.87
106,Guadalupe Y Calvo,MX,2020-06-17 03:44:25,26.1,-106.97,54.73,85,50,4.7
107,Qaanaaq,GL,2020-06-17 03:44:25,77.48,-69.36,33.82,83,0,1.03
108,Beringovskiy,RU,2020-06-17 03:34:48,63.05,179.32,47.34,68,37,1.72
109,Vao,NC,2020-06-17 03:34:39,-22.67,167.48,73.35,81,75,16.37
110,Henties Bay,NA,2020-06-17 03:44:25,-22.12,14.28,72.34,28,0,23.06
111,Shelburne,CA,2020-06-17 03:44:26,44.08,-80.2,57.99,81,1,2.24
112,Bhusawal,IN,2020-06-17 03:41:11,21.05,75.77,87.33,66,95,13.15
113,Vila,PT,2020-06-17 03:35:15,42.03,-8.16,59.0,93,90,0.63
114,Kihei,US,2020-06-17 03:44:26,20.79,-156.47,75.99,74,53,3.0
115,Palmer,US,2020-06-17 03:41:18,42.16,-72.33,55.0,81,66,1.19
116,Victoria,HK,2020-06-17 03:35:06,22.29,114.16,91.0,66,0,11.99
117,Tiksi,RU,2020-06-17 03:34:57,71.69,128.87,52.72,48,100,7.67
118,Sao Joao Da Barra,BR,2020-06-17 03:44:27,-21.64,-41.05,70.21,74,100,11.5
119,East London,ZA,2020-06-17 03:42:02,-33.02,27.91,51.8,81,1,6.93
120,Santa Isabel,BR,2020-06-17 03:44:27,-23.32,-46.22,64.4,100,75,8.05
121,Rio De Jesus,PA,2020-06-17 03:44:27,7.98,-81.16,76.59,92,99,2.01
122,Upernavik,GL,2020-06-17 03:44:28,72.79,-56.15,31.23,95,52,0.38
123,Kadaura,IN,2020-06-17 03:44:28,25.98,79.85,93.87,49,100,5.32
124,Mehran,IR,2020-06-17 03:44:28,33.12,46.16,69.8,35,0,14.05
125,Menongue,AO,2020-06-17 03:34:44,-14.66,17.69,46.47,77,0,3.85
126,Leningradskiy,RU,2020-06-17 03:34:31,69.38,178.42,53.94,52,42,11.68
127,Hithadhoo,MV,2020-06-17 03:44:29,-0.6,73.08,84.4,76,58,11.39
128,Provideniya,RU,2020-06-17 03:44:29,64.38,-173.3,53.6,66,2,8.95
129,Tasiilaq,GL,2020-06-17 03:44:29,65.61,-37.64,39.2,80,100,17.22
130,Nikolskoye,RU,2020-06-17 03:44:21,59.7,30.79,66.99,82,49,4.47
131,Kitimat,CA,2020-06-17 03:43:35,54.05,-128.65,61.0,68,87,3.8
132,Aden,YE,2020-06-17 03:43:29,12.78,45.04,87.12,78,100,18.66
133,Dikson,RU,2020-06-17 03:44:30,73.51,80.55,31.75,95,83,11.97
134,Tuktoyaktuk,CA,2020-06-17 03:44:30,69.45,-133.04,60.8,72,75,6.93
135,Cherskiy,RU,2020-06-17 03:44:30,68.75,161.3,78.96,25,64,3.89
136,Bredasdorp,ZA,2020-06-17 03:44:30,-34.53,20.04,41.0,93,0,4.34
137,Los Llanos De Aridane,ES,2020-06-17 03:44:30,28.66,-17.92,71.6,88,99,2.24
138,Bethel,US,2020-06-17 03:34:51,41.37,-73.41,59.0,87,1,3.36
139,Tayu,ID,2020-06-17 03:44:31,-6.54,111.05,88.72,55,98,7.92
140,Esperance,AU,2020-06-17 03:34:44,-33.87,121.9,64.4,37,95,17.22
141,Mount Isa,AU,2020-06-17 03:44:31,-20.73,139.5,78.8,29,0,11.41
142,Smederevska Palanka,RS,2020-06-17 03:44:31,44.37,20.96,60.8,100,75,3.53
143,Hambantota,LK,2020-06-17 03:44:30,6.12,81.12,84.2,94,40,14.99
144,Te Anau,NZ,2020-06-17 03:44:32,-45.42,167.72,44.53,83,100,3.78
145,Nome,US,2020-06-17 03:33:05,64.5,-165.41,72.0,48,1,14.99
146,Khatanga,RU,2020-06-17 03:44:32,71.97,102.5,54.52,41,73,8.03
147,Nesna,NO,2020-06-17 03:44:32,66.2,13.02,57.2,67,0,14.99
148,Kavieng,PG,2020-06-17 03:35:18,-2.57,150.8,85.64,62,38,5.5
149,Tabas,IR,2020-06-17 03:44:33,33.6,56.92,87.8,20,0,2.24
150,Nadapuram,IN,2020-06-17 03:44:33,11.7,75.67,75.2,88,90,5.82
151,Manaus,BR,2020-06-17 03:42:25,-3.1,-60.02,77.0,88,75,6.93
152,Falkenberg,SE,2020-06-17 03:44:33,56.91,12.49,59.0,82,34,2.24
153,Husavik,IS,2020-06-17 03:44:34,66.04,-17.34,41.0,80,8,19.46
154,Kununurra,AU,2020-06-17 03:44:34,-15.77,128.73,82.4,25,0,11.41
155,Sorland,NO,2020-06-17 03:44:34,67.67,12.69,51.4,77,0,10.87
156,Dehloran,IR,2020-06-17 03:43:54,32.69,47.27,98.02,11,0,8.21
157,Gao,ML,2020-06-17 03:40:35,16.64,1.64,92.55,16,10,8.34
158,Roseburg,US,2020-06-17 03:44:34,43.22,-123.34,60.8,59,90,5.82
159,Ilulissat,GL,2020-06-17 03:44:35,69.22,-51.1,35.6,80,61,3.36
160,Udachnyy,RU,2020-06-17 03:41:18,66.42,112.4,62.6,33,75,8.95
