City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Jacksonville,US,30.33,-81.66,96.01,41,40,9.17,scattered clouds,0.0,0
72,Amapa,BR,1.0,-52.0,76.78,95,100,3.38,moderate rain,6.81,0
73,East London,ZA,-33.02,27.91,63.59,64,0,13.4,clear sky,0.0,0
74,Dhidhdhoo,MV,6.88,73.1,83.71,70,100,10.6,overcast clouds,0.0,0
75,Riyadh,SA,24.69,46.72,87.8,23,0,3.36,clear sky,0.0,0
76,Damghan,IR,36.17,54.35,75.69,26,0,7.0,clear sky,0.0,0
77,Manta,EC,-0.95,-80.73,80.6,78,75,13.87,broken clouds,0.0,0
78,Torbay,CA,47.67,-52.73,55.0,54,90,13.87,overcast clouds,0.0,0
79,Corrente,BR,-3.74,-43.34,77.07,72,7,2.1,clear sky,0.0,0
80,Kazachinskoye,RU,57.7,93.28,46.99,93,51,4.9,broken clouds,0.0,0
81,Tuatapere,NZ,-46.13,167.68,37.8,79,0,3.42,clear sky,0.0,0
82,Porteirinha,BR,-15.74,-43.03,68.97,56,41,6.73,scattered clouds,0.0,0
83,New Norfolk,AU,-42.78,147.06,53.01,93,100,1.01,light rain,2.32,0
84,Dzerzhinsk,RU,56.24,43.46,61.0,87,0,4.29,clear sky,0.0,0
85,Moron,AR,-34.65,-58.62,61.0,62,11,1.99,few clouds,0.0,0
86,Votice,CZ,49.64,14.64,60.01,90,98,4.32,overcast clouds,0.0,0
87,Fortuna,US,40.6,-124.16,63.0,87,75,10.29,broken clouds,0.0,0
88,Cayenne,GF,4.93,-52.33,86.0,70,20,11.41,few clouds,0.0,0
89,Rostovka,RU,55.38,71.89,48.85,89,98,6.78,overcast clouds,0.0,0
90,Iqaluit,CA,63.75,-68.51,44.6,65,75,5.82,broken clouds,0.0,0
91,Barrow,US,71.29,-156.79,41.0,80,90,17.22,overcast clouds,0.0,0
92,Ribeira Grande,PT,38.52,-28.7,68.0,88,40,11.41,scattered clouds,0.0,0
93,Vardo,NO,70.37,31.11,44.6,87,20,3.36,few clouds,0.0,0
94,Kapuskasing,CA,49.42,-82.43,73.4,64,75,16.11,broken clouds,0.0,0
95,Kruisfontein,ZA,-34.0,24.73,53.73,84,0,6.15,clear sky,0.0,0
96,Saskylakh,RU,71.92,114.08,52.66,63,65,8.52,broken clouds,0.0,0
97,Codrington,AU,-38.27,141.97,45.34,94,91,3.33,overcast clouds,0.0,0
98,Nome,US,64.5,-165.41,66.0,72,1,10.29,clear sky,0.0,0
99,Berlevag,NO,70.86,29.09,42.8,81,40,8.05,scattered clouds,0.0,0
100,Gat,IL,31.61,34.76,84.0,39,0,1.01,clear sky,0.0,0
101,Buala,SB,-8.14,159.59,81.81,77,36,4.25,scattered clouds,0.0,0
102,Souillac,MU,-20.52,57.52,71.6,78,40,14.99,scattered clouds,0.0,0
103,Suntar,RU,62.14,117.63,63.3,80,63,0.83,broken clouds,0.0,0
104,Victor Harbor,AU,-35.57,138.62,52.0,95,75,1.99,light rain,2.28,0
105,Nishihara,JP,26.18,127.76,82.4,88,90,13.87,mist,0.0,0
106,Mount Dora,US,28.8,-81.64,93.0,49,40,3.36,scattered clouds,0.0,0
107,Port-Gentil,GA,-0.72,8.78,77.0,88,40,9.17,scattered clouds,0.0,0
108,Monte Escobedo,MX,22.3,-103.58,76.01,38,78,1.43,light rain,7.16,0
109,Wanning,CN,18.8,110.4,82.22,88,24,12.37,few clouds,0.0,0
110,Pindobacu,BR,-10.74,-40.36,73.58,72,94,9.46,light rain,5.91,0
111,Honiara,SB,-9.43,159.95,73.4,94,75,4.16,broken clouds,0.0,0
112,Broome,US,42.25,-75.83,82.99,57,40,6.93,scattered clouds,0.0,0
113,Porto Novo,BJ,6.5,2.6,78.8,100,75,12.75,heavy intensity rain,10.34,0
114,Maniitsoq,GL,65.42,-52.9,48.43,61,1,9.28,clear sky,0.0,0
115,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,69,0,11.41,clear sky,0.0,0
116,Laguna,US,38.42,-121.42,95.0,26,1,8.05,clear sky,0.0,0
117,Mandalgovi,MN,45.76,106.27,56.23,79,100,10.16,overcast clouds,0.0,0
118,Castro,BR,-24.79,-50.01,61.32,79,0,3.89,clear sky,0.0,0
119,Mar Del Plata,AR,-38.0,-57.56,55.99,66,20,13.87,few clouds,0.0,0
120,Taoudenni,ML,22.68,-3.98,105.15,8,27,12.57,scattered clouds,0.0,0
121,Fairbanks,US,64.84,-147.72,53.6,93,90,12.75,light rain,5.77,0
122,Faanui,PF,-16.48,-151.75,78.1,82,98,21.7,overcast clouds,0.0,0
123,Buchanan,LR,5.88,-10.05,77.49,89,100,7.9,light rain,2.11,0
124,Port Hedland,AU,-20.32,118.57,59.0,41,0,9.17,clear sky,0.0,0
125,Tilichiki,RU,60.47,166.1,66.18,54,15,5.44,few clouds,0.0,0
126,Nioro,GM,13.35,-15.75,85.53,60,34,12.62,scattered clouds,0.0,0
127,Dudinka,RU,69.41,86.18,48.2,70,98,6.71,overcast clouds,0.0,0
128,Erenhot,CN,43.65,111.98,76.06,39,100,21.72,overcast clouds,0.0,0
129,Gizo,SB,-8.1,156.84,82.87,73,14,6.62,few clouds,0.0,0
130,Ferkessedougou,CI,9.6,-5.2,81.37,71,98,5.68,light rain,9.19,0
131,Redcliffe,AU,-27.23,153.1,57.2,76,0,11.41,clear sky,0.0,0
132,Guerrero Negro,MX,27.98,-114.06,72.64,51,1,18.41,clear sky,0.0,0
133,Tezu,IN,27.92,96.17,75.96,85,89,2.82,light rain,2.7,0
134,Lorengau,PG,-2.02,147.27,80.98,77,9,2.35,clear sky,0.0,0
135,Huambo,AO,-12.78,15.74,51.46,45,0,2.53,clear sky,0.0,0
136,Luwuk,ID,-0.95,122.79,76.75,77,77,6.87,broken clouds,0.0,0
137,Kedrovoye,RU,57.16,60.57,50.0,71,90,11.18,overcast clouds,0.0,0
138,Hermanus,ZA,-34.42,19.23,57.0,89,67,4.38,broken clouds,0.0,0
139,Yellowknife,CA,62.46,-114.35,79.0,40,20,20.8,few clouds,0.0,0
140,Indian Head,US,38.6,-77.16,84.99,54,1,4.12,clear sky,0.0,0
141,Longyearbyen,SJ,78.22,15.64,41.0,75,40,3.36,scattered clouds,0.0,0
142,Ndele,CF,8.41,20.65,71.56,89,100,5.08,overcast clouds,0.0,0
143,Tuktoyaktuk,CA,69.45,-133.04,44.6,81,90,8.05,overcast clouds,0.0,0
144,Boysun,UZ,38.21,67.2,73.2,19,0,3.51,clear sky,0.0,0
145,Tiksi,RU,71.69,128.87,44.06,78,4,13.11,clear sky,0.0,0
146,Flinders,AU,-34.58,150.86,51.01,74,65,8.99,broken clouds,0.0,0
147,Port Elizabeth,ZA,-33.92,25.57,59.0,82,0,11.41,clear sky,0.0,0
148,Ketchikan,US,55.34,-131.65,57.2,62,90,11.41,overcast clouds,0.0,0
149,Okha,RU,53.57,142.95,40.89,93,100,9.33,overcast clouds,0.0,0
150,Zhangye,CN,38.93,100.45,60.66,61,100,10.0,overcast clouds,0.0,0
151,Bone,DE,51.97,12.14,64.0,73,0,2.64,clear sky,0.0,0
152,Raudeberg,NO,61.99,5.14,57.99,94,100,9.78,light rain,3.65,0
153,Severo-Yeniseyskiy,RU,60.37,93.04,42.46,99,96,0.89,overcast clouds,0.0,0
154,Butaritari,KI,3.07,172.79,83.5,79,39,14.97,scattered clouds,0.0,0
155,Saint George,US,37.1,-113.58,100.0,11,1,5.82,clear sky,0.0,0
156,Bonanza,NI,14.03,-84.59,80.13,89,100,4.25,moderate rain,10.65,0
157,Sistranda,NO,63.73,8.83,68.0,64,96,1.12,overcast clouds,0.0,0
158,Husavik,IS,66.04,-17.34,60.8,59,20,24.16,few clouds,0.0,0
159,Umm Kaddadah,SD,13.6,26.69,92.55,11,0,4.74,clear sky,0.0,0
160,Oranjemund,NA,-28.55,16.43,56.79,81,0,7.65,clear sky,0.0,0
161,San Quintin,MX,30.48,-115.95,70.14,67,0,16.58,clear sky,0.0,0
162,Stettler,CA,52.32,-112.72,66.0,69,100,4.0,overcast clouds,0.0,0
163,Norman Wells,CA,65.28,-126.83,53.6,100,90,13.87,light rain,9.83,0
164,Rocha,UY,-34.48,-54.33,58.84,93,97,7.23,overcast clouds,0.0,0
165,Altay,CN,47.87,88.12,41.59,63,52,3.58,broken clouds,0.0,0
166,Avarua,CK,-21.21,-159.78,73.4,64,100,11.41,overcast clouds,0.0,0
167,Morondava,MG,-20.28,44.28,72.09,80,0,9.33,clear sky,0.0,0
168,Belmonte,BR,-15.86,-38.88,75.2,64,0,4.7,clear sky,0.0,0
169,Mwaro,BI,-3.5,29.67,55.06,81,3,2.55,clear sky,0.0,0
170,Pevek,RU,69.7,170.31,45.28,71,6,5.95,light rain,5.59,0
171,Oistins,BB,13.07,-59.53,86.0,70,40,23.04,haze,0.0,0
172,Carnarvon,AU,-24.87,113.63,55.4,87,0,4.7,clear sky,0.0,0
173,Cabo San Lucas,MX,22.89,-109.91,87.8,42,5,9.17,clear sky,0.0,0
174,Mitu,CO,1.2,-70.17,81.79,83,93,1.28,light rain,8.41,0
175,Lagoa,PT,39.05,-27.98,66.07,86,0,18.25,clear sky,0.0,0
176,Aksu,CN,41.12,80.26,71.92,21,0,4.79,clear sky,0.0,0
177,Huarmey,PE,-10.07,-78.15,67.5,72,36,9.26,scattered clouds,0.0,0
178,Galle,LK,6.04,80.22,81.61,82,100,18.72,light rain,6.28,0
179,Teguldet,RU,57.31,88.17,44.73,85,99,1.97,overcast clouds,0.0,0
180,Mnogovershinnyy,RU,53.94,139.92,39.18,98,100,3.22,overcast clouds,0.0,0
181,Matay,EG,28.42,30.78,83.21,34,0,16.51,clear sky,0.0,0
182,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,42.8,100,75,4.47,broken clouds,0.0,0
183,Thompson,CA,55.74,-97.86,57.2,87,90,10.29,overcast clouds,0.0,0
184,Bairiki,KI,1.33,172.98,82.4,83,75,5.82,shower rain,8.65,0
185,Krasnoselkup,RU,65.7,82.47,47.55,89,81,10.67,broken clouds,0.0,0
186,Lebu,CL,-37.62,-73.65,51.04,83,100,9.69,overcast clouds,0.0,0
187,Kilindoni,TZ,-7.91,39.67,79.27,77,45,22.7,scattered clouds,0.0,0
188,Zarubino,RU,42.63,131.09,60.31,98,100,7.36,moderate rain,0.42,0
189,Charters Towers,AU,-20.1,146.27,58.91,68,0,8.14,clear sky,0.0,0
190,Victoria,HK,22.29,114.16,86.0,74,99,11.01,light rain,6.95,0
191,Ukiah,US,39.15,-123.21,88.0,33,1,6.93,clear sky,0.0,0
192,Eyl,SO,7.98,49.82,80.78,71,38,21.21,scattered clouds,0.0,0
193,Beloha,MG,-25.17,45.05,66.97,86,99,2.66,overcast clouds,0.0,0
194,Ponta Do Sol,PT,32.67,-17.1,69.8,64,20,17.22,few clouds,0.0,0
